INSERT INTO fa22_sg_customer (customer_id, email, password, first_name, last_name, segment, security_answer, security_question_id) VALUES 
('AB-100151402', 'ab40098@nyu.edu', '1234qwer', 'Aaron', 'Bergman', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('JR-162107', 'jr26341@nyu.edu', '1234qwer', 'Justin', 'Ritter', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('CR-127307', 'cr25330@nyu.edu', '1234qwer', 'Craig', 'Reiter', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('KM-1637548', 'km13524@nyu.edu', '1234qwer', 'Katherine', 'Murray', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('RH-9495111', 'rh47221@nyu.edu', '1234qwer', 'Rick', 'Hansen', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('JM-156557', 'jm22732@nyu.edu', '1234qwer', 'Jim', 'Mitchum', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('TS-2134092', 'ts30570@nyu.edu', '1234qwer', 'Toby', 'Swindell', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('MB-1808592', 'mb31192@nyu.edu', '1234qwer', 'Mick', 'Brown', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AB-100151404', 'ab36258@nyu.edu', '1234qwer', 'Aaron', 'Bergman', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AJ-107801', 'aj28879@nyu.edu', '1234qwer', 'Anthony', 'Jacobs', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('MM-7260110', 'mm45794@nyu.edu', '1234qwer', 'Magdelene', 'Morse', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('VF-2171518', 'vf4132@nyu.edu', '1234qwer', 'Vicky', 'Freymann', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('PF-1912027', 'pf27704@nyu.edu', '1234qwer', 'Peter', 'Fuller', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('BP-1118545', 'bp13779@nyu.edu', '1234qwer', 'Ben', 'Peterman', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('PJ-1883564', 'pj12069@nyu.edu', '1234qwer', 'Patrick', 'Jones', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('JS-156857', 'js22096@nyu.edu', '1234qwer', 'Jim', 'Sink', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('RH-9555129', 'rh49463@nyu.edu', '1234qwer', 'Ritsa', 'Hightower', 'Consumer', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('AB-600103', 'ab46630@nyu.edu', '1234qwer', 'Ann', 'Blume', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('JK-1532527', 'jk21586@nyu.edu', '1234qwer', 'Jason', 'Klamczynski', 'Corporate', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
('LB-16795139', 'lb13528@nyu.edu', '1234qwer', 'Laurel', 'Beltran', 'Home Office', 'New York', '2ea128a1-5990-4666-90cf-9a4e266136c0'), 
